,Date,Particulars,Debit,Credit,Balance,Category
0,2020-01-02,NEFT/MB/AXMB18032561234/BHARAT DISTRIBUTORS,150000,,428623.34,shoppingAndFood
1,2020-01-02,ECS/BAJAJ FINANCE LI/7UPBFR5092879,31643,,396980.34,shoppingAndFood
2,2020-01-02,NEFT/P18020179597620/GOPALA SHETTY,,48269,445249.34,shoppingAndFood
3,2020-01-04,NEFT/P18020200251890/RAJ FISH MEAL/NEFT,,141280,586529.34,shoppingAndFood
4,2020-01-06,By Clg 910912 SBI UDIPI,,19274,605803.34,shoppingAndFood
5,2020-01-06,By Clg 910912 SBI UDIPI,19274,,586529.34,shoppingAndFood
6,2020-01-10,ATM-CASH-AXIS/BWRO193201/7201/091117/PIMPRI,25000,,561529.34,shoppingAndFood
7,2020-01-13,UPI/032519362950/19:46:46/UPI/618002010008311@ubi,3000,,558529.34,shoppingAndFood
8,2020-01-16,ACH Debit/LIC OF INDIA/9598365220320,7423,,551106.34,shoppingAndFood
9,2020-01-18,TO CLG :CHEQUE PAID IN CLEARING -SERVBR-,2563,,548543.34,shoppingAndFood
10,2020-01-18,TO CLG (REJ) :J M KOTECHA SONSRECO-,,2563,551106.34,shoppingAndFood
11,2020-02-02,ECS/BAJAJ FINANCE LI/7UPBFR50929545,31643,,519463.34,shoppingAndFood
12,2020-02-03,NEFT/MB/AXMB180678297976/Sadasghiva Salain,60500,,458963.34,shoppingAndFood
13,2020-02-04,NEFT/MB/AXMB180336398712/Raghavendra vittal,70000,,388963.34,shoppingAndFood
14,2020-02-04,NEFT/P18020281234321/PRATHIBHA,,11190,400153.34,shoppingAndFood
15,2020-02-06,AXMOB/DTHR/S3I4MGGJ9876/912020056789523/025618,5000,,395153.34,shoppingAndFood
16,2020-02-10,ATM-CASH-AXIS/BWRO19334555/7891/0914547/PIMPRI,20000,,375153.34,shoppingAndFood
17,2020-02-15,ECS DEBIT RETURN CHRG ECS RETURN CHGS,990,,374163.34,shoppingAndFood
18,2020-02-16,ACH Debit/LIC OF INDIA/9598365220320,7423,,366740.34,shoppingAndFood
19,,,,,,shoppingAndFood
20,2020-02-18,BY CLEARING / CHEQUE- MSC BY CLEARING CHQ 046319 MICR 400082523- 46319,,9650,376390.34,shoppingAndFood
21,2020-02-18,OUT-CHQ RETURN- 30 Instrument post datedivity failuretication5,9650,,366740.34,shoppingAndFood
22,2020-02-18,cheque returned charges-- 46319,177,,366563.34,shoppingAndFood
23,2020-03-02,ECS/BAJAJ FINANCE LI/7UPBFR50929545,31643,,334920.34,shoppingAndFood
24,2020-03-10,ATM-CASH-AXIS/BWRO8765555/8876/2389147/PIMPRI,20000,,314920.34,shoppingAndFood
25,2020-03-12,IMPS/MB/AXMB186546705176/HARISS,7800,,307120.34,shoppingAndFood
26,2020-03-12,SAK/CASH DEP/SAK038645682/181/BY CASH/AKHIL SHETTY,,400000,707120.34,shoppingAndFood
27,2020-03-15,UPI/032519362950/10:12:46/UPI/618002010008311@ubi,3000,,704120.34,shoppingAndFood
28,2020-03-16,ACH Debit/LIC OF INDIA/95983652298874,7423,,696697.34,shoppingAndFood
29,2020-03-18,IMPS OUTWARD ORG IMPS TO 035701527798 - ICICI BANKLIMITED REF NO:-035622636465 -DANIEL,10000,,686697.34,shoppingAndFood
30,2020-03-25,By Clg 987914 SBI UDIPI,,50940,737637.34,shoppingAndFood
31,2020-03-30,SMSChrgsJAN-MAR20+GST CUS T 192996645,11375,,726262.34,shoppingAndFood
32,2020-04-02,ECS/BAJAJ FINANCE LI/7UPBFR50929545,31643,,694619.34,shoppingAndFood
33,2020-04-10,GST @18% on Charge,15.3,,694604.04,shoppingAndFood
34,2020-04-10,Consolidated Charges for A/c,985,,693619.04,shoppingAndFood
35,2020-04-10,IMPS INWARD ORG IMPSTO from GOOGLE INDIA DIGITALAXIS BANK REF NO: - 035810053142,,1350,694969.04,shoppingAndFood
36,2020-04-10,ATM-CASH-AXIS/BWRO87934555/0981/6894547/PIMPRI,10000,,684969.04,shoppingAndFood
37,2020-04-12,CC 000552365XXXXXX8460 AUTOPAY SI-TAD,52610,,632359.04,shoppingAndFood
38,2020-04-15,UPI/032519362950/12:12:46/UPI/618002010008311@ubi,3000,,629359.04,shoppingAndFood
39,2020-04-16,ACH Debit/LIC OF INDIA/9598365220456,7423,,621936.04,shoppingAndFood
40,2020-04-16,49:MICR INWD CLG (CTS),650000,,-28063.96,shoppingAndFood
41,2020-04-16,RETURNED:49:FUNDS INSUFFICIENT,,650000,621936.04,shoppingAndFood
42,2020-04-16,OUTWARD RETURN CHARGES,295,,621641.04,shoppingAndFood
43,2020-04-18,BY CASH -297900,,32000,653641.04,shoppingAndFood
44,2020-04-20,DEBIT-CMP MANDATE DEBIT IVL FINANCE LTD-,1970,,651671.04,shoppingAndFood
45,2020-04-21,TRF/TATA CAPITAL LTD/ICICI,5900,,645771.04,shoppingAndFood
46,2020-04-27,ACH/NEOGROWTH CREDIT PVT/1087069_ B984,2875,,642896.04,shoppingAndFood
47,2020-05-01,NEFT/MB/AXMB180387676870/VGUARD INDUSTRIES LTD,155391,,487505.04,shoppingAndFood
48,2020-05-02,NACH-DR- Fulllerton India,303620,,183885.04,shoppingAndFood
49,2020-05-02,NEFT/MB/AXMB180398779979/AKHIL SHETTY,100000,,83885.04,shoppingAndFood
50,,,,,,shoppingAndFood
51,2020-05-02,ECS/BAJAJ FINANCE LI/7UPBFR50929545,31643,,52242.04,shoppingAndFood
52,2020-05-04,BY CASH DEPOSIT-BNA/S3RH18901/7537/057618/UDIPI,,150000,202242.04,shoppingAndFood
53,2020-05-04,CLG/HDFC BANK LTD LOAN AC,55279,,146963.04,shoppingAndFood
54,2020-05-12,NACH-DR- UNITED PETRO FINANCE,45000,,101963.04,shoppingAndFood
